Player1,Player2,Round,Result,FNL.1,FNL.2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
Pablo Carreno-Busta,Roger Federer,1,0,0,3,62,27,38,11,1,3,12,29,1,3,9,20,50,2,2,3,NA,NA,68,33,32,14,10,0,33,19,7,7,14,18,88,6,6,6,NA,NA
Somdev Devvarman,Daniel Munoz-De La Nava,1,1,3,0,62,54,38,22,7,3,26,20,5,8,12,21,120,6,6,7,NA,NA,52,35,48,24,0,2,40,47,1,16,22,25,106,3,3,5,NA,NA
Tobias Kamke,Paolo Lorenzi,1,1,3,2,62,53,38,15,4,6,42,55,10,22,14,32,140,6,6,3,0,6,46,42,54,31,6,8,39,54,10,18,19,27,139,3,3,6,6,3
Julien Benneteau,Ricardas Berankis,1,1,3,1,72,87,28,19,14,2,48,27,4,13,14,30,163,7,6,5,7,NA,53,58,47,38,13,10,72,56,4,13,33,43,149,6,3,7,6,NA
Lukas Lacko,Sam Querrey,1,0,0,3,52,31,48,22,4,4,21,24,1,1,3,5,72,3,4,4,NA,NA,58,39,42,19,10,1,42,37,4,7,12,13,93,6,6,6,NA,NA
Jan Hajek,Denis Kudla,1,1,3,1,70,58,30,18,4,4,35,36,6,12,8,10,130,6,5,6,6,NA,68,48,32,17,5,5,30,51,1,7,6,9,93,2,7,0,4,NA
Adrian Mannarino,Pablo Cuevas,1,0,2,3,63,71,37,38,5,5,45,80,5,12,28,41,160,3,6,3,7,5,59,67,41,27,5,6,54,57,6,20,14,22,175,6,2,6,5,7
Gilles Simon,Lleyton Hewitt,1,1,3,2,59,42,41,25,7,2,41,49,10,14,11,18,136,3,1,6,6,7,49,40,51,29,4,6,44,72,9,10,19,35,120,6,6,4,1,5
Philipp Petzschner,Marin Cilic,1,0,0,3,56,27,44,13,0,6,12,28,1,2,11,18,54,1,2,3,NA,NA,50,26,50,20,5,1,35,15,7,12,13,21,92,6,6,6,NA,NA
Radek Stepanek,Nick Kyrgios,1,0,0,3,63,62,37,29,5,4,41,44,1,6,19,27,132,6,6,6,NA,NA,56,64,44,35,10,7,46,38,1,3,9,20,130,7,7,7,NA,NA
Viktor Troicki,James Blake,1,1,3,0,48,29,52,20,12,4,33,12,7,11,14,21,91,6,6,6,NA,NA,47,22,53,15,3,2,23,31,2,2,9,22,59,4,2,2,NA,NA
Juan Monaco,Daniel Gimeno-Traver,1,0,2,3,78,85,22,22,2,1,24,30,5,17,12,18,174,6,6,6,4,4,52,67,48,47,12,5,72,64,5,10,11,18,177,4,4,7,6,6
Benjamin Becker,Jeremy Chardy,1,0,0,3,66,48,34,13,7,5,24,24,1,5,11,14,85,4,2,5,NA,NA,66,44,34,17,10,6,46,33,5,11,10,16,108,6,6,7,NA,NA
