Player1,Player2,Round,Result,FNL.1,FNL.2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
Su-Wei Hsieh,Maria Sharapova,1,0,0,2,62,18,38,5,0,3,8,8,0,0,1,3,31,2,1,NA,NA,NA,68,25,32,8,4,0,25,19,4,6,3,5,57,6,6,NA,NA,NA
Eugenie Bouchard,Tsvetana Pironkova,1,1,2,0,57,23,43,17,3,1,37,21,4,10,16,20,71,6,7,NA,NA,NA,66,28,34,6,1,2,13,21,1,3,4,8,48,1,6,NA,NA,NA
Jie Zheng,Vesna Dolonc,1,1,2,0,76,30,24,5,1,0,25,13,4,12,4,5,70,6,6,NA,NA,NA,76,35,24,6,0,3,20,25,0,4,14,20,56,4,1,NA,NA,NA
Tamira Paszek,Melanie Oudin,1,0,0,2,59,16,41,8,2,6,21,38,6,15,2,4,66,4,3,NA,NA,NA,63,27,37,9,0,3,24,29,8,13,5,8,78,6,6,NA,NA,NA
Karin Knapp,Sloane Stephens,1,0,0,2,57,18,43,13,,3,15,27,2,2,3,5,50,2,5,NA,NA,NA,65,22,35,10,,2,9,16,5,7,1,4,61,6,7,NA,NA,NA
Vania King,Alexandra Cadantu,1,1,2,0,74,27,26,11,,0,38,15,6,9,14,21,83,7,6,NA,NA,NA,72,28,28,9,,5,21,17,3,8,5,9,64,6,1,NA,NA,NA
Marina Erakovic,Elena Baltacha,1,1,2,0,66,23,34,8,6,2,29,10,5,6,5,9,56,6,6,NA,NA,NA,69,11,31,6,1,1,7,13,1,5,2,6,30,3,0,NA,NA,NA
Dominika Cibulkova,Lesia Tsurenko,1,1,2,0,60,24,40,11,1,2,14,20,6,10,4,6,67,6,6,NA,NA,NA,55,12,45,7,1,3,16,35,3,7,0,2,46,1,4,NA,NA,NA
Kimiko Date-Krumm,Samantha Stosur,1,0,0,2,79,15,21,3,0,1,8,20,0,1,4,7,33,0,2,NA,NA,NA,59,19,41,12,1,0,21,18,5,8,7,10,60,6,6,NA,NA,NA
Kristina Mladenovic,Lauren Davis,1,1,2,0,58,27,42,13,3,1,31,21,6,15,14,17,77,6,7,NA,NA,NA,72,22,28,5,0,0,18,16,2,9,4,7,49,0,5,NA,NA,NA
Karolina Pliskova,Garbine Muguruza,1,0,1,2,60,41,40,20,9,4,27,22,2,4,5,7,88,6,5,3,NA,NA,69,49,31,13,7,7,46,25,3,7,11,17,99,4,7,6,NA,NA
Jelena Jankovic,Daniela Hantuchova,1,1,2,0,78,40,22,7,4,1,27,21,3,11,10,15,90,6,7,NA,NA,NA,68,38,32,17,1,2,26,32,2,6,14,23,80,4,6,NA,NA,NA
Jamie Hampton,Lucie Safarova,1,1,2,1,60,50,40,24,7,5,38,50,6,11,5,14,125,7,3,9,NA,NA,67,53,33,19,4,1,35,43,6,16,11,17,130,6,6,7,NA,NA
