Player1,Player2,Round,Result,FNL1,FNL2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
Richard Gasquet,Michael Russell,1,1,3,0,63,45,37,16,7,7,,,5,16,18,25,106,6,6,6,NA,NA,59,37,41,17,6,4,,,1,3,30,40,83,3,4,2,NA,NA
Stephane Robert,Albano Olivetti,1,1,3,0,61,44,39,19,3,2,,,4,13,,,99,6,6,6,NA,NA,56,37,44,15,18,8,,,0,1,,,71,3,3,4,NA,NA
Jan-Lennard Struff,Guillaume Rufin,1,0,2,3,55,61,45,32,11,13,,,5,13,,,149,6,3,6,6,1,55,66,45,27,10,9,,,5,15,,,149,7,6,2,2,6
Aljaz Bedene,Dmitry Tursunov,1,0,1,3,52,41,48,19,13,8,,,2,9,,,97,5,6,3,0,NA,55,52,45,27,16,3,,,6,9,,,121,7,4,6,6,NA
Feliciano Lopez,Florent Serra,1,1,3,1,58,54,42,30,21,3,,,5,16,,,148,6,6,6,6,NA,61,63,39,30,8,2,,,0,3,,,123,7,2,3,3,NA
Kenny De Schepper,Bradley Klahn,1,0,1,3,59,68,41,37,20,11,,,1,1,30,42,133,7,2,6,6,NA,71,72,29,26,6,1,,,3,11,30,48,151,6,6,7,7,NA
Andrey Kuznetsov,Dudi Sela,1,0,2,3,53,59,47,44,8,8,,,10,18,,,183,6,3,7,7,4,59,65,41,38,2,7,,,11,26,,,187,7,6,6,5,6
Pablo Cuevas,Janko Tipsarevic,1,0,1,2,51,39,49,24,17,6,,,0,1,5,10,82,3,7,3,NA,NA,55,42,45,28,12,2,,,2,9,10,10,104,6,6,6,NA,NA
Ernests Gulbis,Andreas Haider-Maurer,1,0,2,3,58,68,42,31,15,8,,,5,22,,,159,6,3,6,6,4,49,58,51,43,10,12,,,4,14,,,160,3,6,1,7,6
Mikhail Kukushkin,Andrej Martin,1,1,3,0,51,35,49,27,4,5,,,9,11,,,117,6,7,7,NA,NA,49,35,51,20,4,3,,,7,12,,,103,4,6,5,NA,NA
Roberto Bautista Agut,Thomaz Bellucci,1,1,3,0,75,44,25,12,1,1,,,6,10,,,87,6,6,6,NA,NA,57,28,43,10,7,2,,,1,4,,,65,3,2,2,NA,NA
Nick Kyrgios,David Ferrer,1,0,0,3,69,44,31,9,8,3,,,1,3,13,19,75,5,3,2,NA,NA,55,40,45,21,11,2,,,5,11,6,6,103,7,6,6,NA,NA
Tommy Robredo,Marinko Matosevic,1,1,3,1,54,49,46,30,9,3,,,9,16,9,14,138,6,6,6,6,NA,59,44,41,27,7,3,,,3,9,34,53,119,3,7,3,2,NA
Robin Haase,Frank Dancevic,1,0,1,3,58,65,42,34,19,4,,,3,15,,,149,6,6,5,6,NA,64,68,36,34,14,3,,,3,4,,,154,7,3,7,7,NA
Albert Ramos,Bernard Tomic,1,0,2,3,55,76,45,42,9,9,,,4,15,26,38,165,3,6,6,6,3,68,71,32,28,9,2,,,5,17,28,41,173,6,3,4,7,6
Daniel Evans,Kei Nishikori,1,1,3,0,48,35,52,25,8,4,,,6,9,16,24,102,6,6,6,NA,NA,54,30,46,15,3,8,,,2,9,10,18,80,4,4,2,NA,NA
Fernando Verdasco,Ivan Dodig,1,0,2,3,59,58,41,23,5,14,,,6,17,15,22,144,3,5,6,6,3,57,60,43,34,10,5,,,6,9,22,41,145,6,7,1,4,6
Rhyne Williams,Nikolay Davydenko,1,0,2,3,55,56,45,26,11,9,,,6,12,,,132,3,6,6,5,0,57,57,43,28,7,6,,,8,14,,,146,6,4,1,7,6
Ryan Harrison,Rafael Nadal,1,0,0,3,62,41,38,10,11,2,,,0,2,12,21,69,4,2,2,NA,NA,72,42,28,11,3,5,,,5,7,25,31,94,6,6,6,NA,NA
