Player1,Player2,Round,Result,FNL.1,FNL.2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.1,ST2.2,ST3.2,ST4.2,ST5.2
M.Koehler,V.Azarenka,1,0,0,2,60,21,40,8,2,4,19,18,7,2,3,3,,1,2,NA,,,72,31,28,4,3,9,25,14,16,6,8,4,,6,6,NA,,
E.Baltacha,F.Pennetta,1,0,0,2,69,23,31,6,0,0,12,10,1,1,14,10,,4,1,NA,,,53,18,47,15,4,4,22,14,6,5,14,11,,6,6,NA,,
S-W.Hsieh,T.Maria,1,1,2,0,63,17,37,10,1,1,23,13,14,6,13,8,,6,6,NA,,,56,16,44,7,2,10,11,29,1,0,8,2,,1,0,NA,,
A.Cornet,V.King,1,1,2,1,57,36,43,21,4,4,35,30,14,4,22,17,,4,6,6,,,68,45,32,15,0,4,32,45,4,1,48,32,,6,3,1,,
Y.Putintseva,K.Flipkens,1,0,0,2,73,34,27,12,2,2,24,28,4,1,12,7,,5,4,NA,,,66,33,34,15,6,0,31,19,9,3,35,24,,7,6,NA,,
A.Tomljanovic,B.Jovanovski,1,0,1,2,59,38,41,22,6,4,35,42,14,2,12,6,,6,1,7,,,69,57,31,18,11,5,47,40,13,4,13,7,,3,6,9,,
Y.Wickmayer,V.Dolonc,1,0,1,2,69,40,31,13,1,3,31,37,6,4,17,10,,6,2,4,,,69,33,31,12,2,5,34,26,12,6,10,8,,3,6,6,,
J.Jankovic,J.Konta,1,1,2,0,68,31,32,12,2,1,23,13,5,3,12,11,,6,7,NA,,,52,21,48,17,1,4,21,25,2,0,9,7,,2,5,NA,,
V.Razzano,A.Ivanovic,1,0,0,2,78,21,22,9,1,2,17,15,1,1,15,9,,6,0,NA,,,67,29,33,10,6,0,17,7,5,4,3,2,,7,6,NA,,
E.Bouchard,G.Voskoboeva,1,1,2,1,61,44,39,24,3,2,29,25,5,3,20,17,,5,7,6,,,59,49,41,21,3,4,34,30,6,3,25,21,,7,6,4,,
S.Arvidsson,M.Lucic-Baroni,1,0,0,2,73,19,27,6,1,0,7,10,8,0,4,2,,1,4,NA,,,64,28,36,14,6,1,33,25,4,3,7,5,,6,6,NA,,
C.Suarez Navarro,L.Dominguez Lino,1,1,2,0,68,27,32,14,,1,23,19,10,6,24,18,,6,6,NA,,,64,16,36,5,,3,12,24,10,2,22,14,,2,2,NA,,
J.Larsson,E.Makarova,1,0,0,2,63,20,37,9,2,4,14,19,0,0,7,5,,3,3,NA,,,82,30,18,7,2,0,19,8,7,3,11,9,,6,6,NA,,
G.Muguruza,A.Keothavong,1,1,2,0,67,28,33,9,3,4,23,16,9,4,18,13,,6,6,NA,,,62,18,38,11,2,2,10,14,1,0,10,6,,4,0,NA,,
K.Bertens,Y.Shvedova,1,0,0,2,57,31,43,11,3,5,9,34,2,2,13,6,,4,3,NA,,,59,19,41,11,0,4,14,34,12,5,10,3,,6,6,NA,,
P.Kvitova,C.Vandeweghe,1,1,2,1,67,40,33,17,2,5,32,31,15,5,24,15,,6,5,6,,,64,40,36,20,5,3,24,25,9,3,17,10,,1,7,4,,
